pass	file	line	func	callee	literal	snippet
A	src/frontend/inp.c	2422	np_savecurrents	strstr	savecurrents	strstr(options->line, "savecurrents")
A	src/frontend/inp.c	2430	np_savecurrents	prefix	save	prefix("save", p->wl_word)
A	src/frontend/inp.c	2436	np_savecurrents	prefix	.save	prefix(".save", p->wl_word)
A	src/frontend/inp.c	2457	np_savecurrents	strstr	savecurrents_bsim3	strstr(options->line, "savecurrents_bsim3")
A	src/frontend/inp.c	2460	np_savecurrents	strstr	savecurrents_bsim4	strstr(options->line, "savecurrents_bsim4")
A	src/frontend/inp.c	2463	np_savecurrents	strstr	savecurrents_mos1	strstr(options->line, "savecurrents_mos1")
A	src/frontend/inp.c	2701	rem_unused_mos_models	strstr	 wmin=	strstr(curr_line, " wmin=")
A	src/frontend/inp.c	2714	rem_unused_mos_models	strstr	 wmax=	strstr(curr_line, " wmax=")
A	src/frontend/inp.c	2728	rem_unused_mos_models	strstr	 lmin=	strstr(curr_line, " lmin=")
A	src/frontend/inp.c	2741	rem_unused_mos_models	strstr	 lmax=	strstr(curr_line, " lmax=")
A	src/frontend/inp.c	2787	rem_unused_mos_models	strstr	 w=	strstr(curr_line, " w=")
A	src/frontend/inp.c	2797	rem_unused_mos_models	strstr	 l=	strstr(curr_line, " l=")
A	src/frontend/inp.c	2807	rem_unused_mos_models	strstr	 nf=	strstr(curr_line, " nf=")
A	src/frontend/inp.c	2817	rem_unused_mos_models	strstr	 wnflag=	strstr(curr_line, " wnflag=")
A	src/frontend/inpc_probe.c	251	inp_probe	strstr	v=	strstr(curr_line, "v=")
A	src/frontend/inpc_probe.c	344	inp_probe	strstr	unconnected	strstr(thisnode, "unconnected")
A	src/frontend/inpc_probe.c	1303	modprobenames	prefix	vcurr_	prefix("vcurr_", name)
A	src/frontend/inpc_probe.c	1376	setallvsources	strstr	thermal	strstr(tmpcard->line, "thermal")
A	src/frontend/inpcom.c	406	is_cider_model	strstr	numos	strstr(s, "numos")
A	src/frontend/inpcom.c	406	is_cider_model	strstr	numd	strstr(s, "numd")
A	src/frontend/inpcom.c	406	is_cider_model	strstr	nbjt	strstr(s, "nbjt")
A	src/frontend/inpcom.c	429	is_xspice_model	strstr	filesource	strstr(s, "filesource")
A	src/frontend/inpcom.c	429	is_xspice_model	strstr	table2d	strstr(s, "table2d")
A	src/frontend/inpcom.c	429	is_xspice_model	strstr	table3d	strstr(s, "table3d")
A	src/frontend/inpcom.c	430	is_xspice_model	strstr	d_state	strstr(s, "d_state")
A	src/frontend/inpcom.c	430	is_xspice_model	strstr	d_source	strstr(s, "d_source")
A	src/frontend/inpcom.c	430	is_xspice_model	strstr	d_process	strstr(s, "d_process")
A	src/frontend/inpcom.c	430	is_xspice_model	strstr	d_cosim	strstr(s, "d_cosim")
A	src/frontend/inpcom.c	965	inp_get_w_l_x	strstr	 w=	strstr(curr_line, " w=")
A	src/frontend/inpcom.c	980	inp_get_w_l_x	strstr	 l=	strstr(curr_line, " l=")
A	src/frontend/inpcom.c	994	inp_get_w_l_x	strstr	 nf=	strstr(curr_line, " nf=")
A	src/frontend/inpcom.c	1866	inp_read	strncmp	sourcepath	strncmp(p, "sourcepath", 10)
A	src/frontend/inpcom.c	2399	inp_fix_gnd_name	strstr	gnd	strstr(gnd, "gnd")
A	src/frontend/inpcom.c	2406	inp_fix_gnd_name	strstr	gnd	strstr(gnd, "gnd")
A	src/frontend/inpcom.c	2420	inp_fix_gnd_name	strstr	/gnd	strstr(gnd, "/gnd")
A	src/frontend/inpcom.c	2467	inp_chk_for_multi_in_vcvs	strstr	nand(	strstr(line, "nand(")
A	src/frontend/inpcom.c	2468	inp_chk_for_multi_in_vcvs	strstr	and(	strstr(line, "and(")
A	src/frontend/inpcom.c	2469	inp_chk_for_multi_in_vcvs	strstr	nor(	strstr(line, "nor(")
A	src/frontend/inpcom.c	2470	inp_chk_for_multi_in_vcvs	strstr	or(	strstr(line, "or(")
A	src/frontend/inpcom.c	2622	replace_freq	strstr	freq	strstr(n1_e, "freq")
A	src/frontend/inpcom.c	2697	replace_freq	strcmp	mag	strcmp(key, "mag")
A	src/frontend/inpcom.c	2700	replace_freq	strcmp	db	strcmp(key, "db")
A	src/frontend/inpcom.c	2703	replace_freq	strcmp	rad	strcmp(key, "rad")
A	src/frontend/inpcom.c	2706	replace_freq	strcmp	deg	strcmp(key, "deg")
A	src/frontend/inpcom.c	2709	replace_freq	strcmp	r_i	strcmp(key, "r_i")
A	src/frontend/inpcom.c	3522	inp_casefix	strstr	file=\"	strstr(string, "file=\"")
A	src/frontend/inpcom.c	3756	inp_fix_subckt	strstr	params:	strstr(s, "params:")
A	src/frontend/inpcom.c	3928	inp_fix_for_numparam	strstr	params:	strstr(c->line, "params:")
A	src/frontend/inpcom.c	4230	found_mult_param	strcmp	m	strcmp(param_names[i], "m")
A	src/frontend/inpcom.c	4253	inp_fix_subckt_multiplier	strstr	params:	strstr(subckt_card->line, "params:")
A	src/frontend/inpcom.c	4289	inp_fix_subckt_multiplier	strstr	 m=	strstr(curr_line, " m=")
A	src/frontend/inpcom.c	4998	inp_fix_param_values	strstr	numos	strstr(line, "numos")
A	src/frontend/inpcom.c	4998	inp_fix_param_values	strstr	numd	strstr(line, "numd")
A	src/frontend/inpcom.c	4999	inp_fix_param_values	strstr	nbjt	strstr(line, "nbjt")
A	src/frontend/inpcom.c	4999	inp_fix_param_values	strstr	nbjt2	strstr(line, "nbjt2")
A	src/frontend/inpcom.c	5000	inp_fix_param_values	strstr	numd2	strstr(line, "numd2")
A	src/frontend/inpcom.c	5005	inp_fix_param_values	strstr	ic.file	strstr(line, "ic.file")
A	src/frontend/inpcom.c	5620	inp_add_params_to_subckt	strstr	params:	strstr(subckt_line, "params:")
A	src/frontend/inpcom.c	5883	b_transformation_wanted	strncmp	v(	strncmp(p, "v(", 2)
A	src/frontend/inpcom.c	5883	b_transformation_wanted	strncmp	i(	strncmp(p, "i(", 2)
A	src/frontend/inpcom.c	5885	b_transformation_wanted	strncmp	temper	strncmp(p, "temper", 6)
A	src/frontend/inpcom.c	5887	b_transformation_wanted	strncmp	hertz	strncmp(p, "hertz", 5)
A	src/frontend/inpcom.c	5889	b_transformation_wanted	strncmp	time	strncmp(p, "time", 4)
A	src/frontend/inpcom.c	5981	eval_tc	strstr	tc1=	strstr(cut_line, "tc1=")
A	src/frontend/inpcom.c	6013	eval_tc	strstr	tc2=	strstr(cut_line, "tc2=")
A	src/frontend/inpcom.c	6058	eval_m	strstr	 m=	strstr(cut_line, " m=")
A	src/frontend/inpcom.c	6100	eval_mvalue	strstr	 m=	strstr(cut_line, " m=")
A	src/frontend/inpcom.c	6475	inp_compat	prefix	vol	prefix("vol", skip_back_non_ws(skip_back_ws(str_ptr, curr_line), curr_line))
A	src/frontend/inpcom.c	6565	inp_compat	strstr	m=	strstr(cut_line, "m=")
A	src/frontend/inpcom.c	6705	inp_compat	prefix	cur	prefix("cur", skip_back_non_ws(skip_back_ws(str_ptr, curr_line), curr_line))
A	src/frontend/inpcom.c	6722	inp_compat	strstr	m=	strstr(cut_line, "m=")
A	src/frontend/inpcom.c	6887	inp_compat	strstr	noisy=1	strstr(cut_line, "noisy=1")
A	src/frontend/inpcom.c	6887	inp_compat	strstr	noise=1	strstr(cut_line, "noise=1")
A	src/frontend/inpcom.c	6889	inp_compat	strstr	noisy=0	strstr(cut_line, "noisy=0")
A	src/frontend/inpcom.c	6889	inp_compat	strstr	noise=0	strstr(cut_line, "noise=0")
A	src/frontend/inpcom.c	6940	inp_compat	strstr	q=	strstr(curr_line, "q=")
A	src/frontend/inpcom.c	6963	inp_compat	strstr	q=	strstr(curr_line, "q=")
A	src/frontend/inpcom.c	7135	inp_compat	strstr	.probe	strstr(curr_line, ".probe")
A	src/frontend/inpcom.c	7184	inp_compat	strstr	par(	strstr(curr_line, "par(")
A	src/frontend/inpcom.c	7188	inp_compat	strstr	par(	strstr(cut_line, "par(")
A	src/frontend/inpcom.c	7284	inp_compat	strstr	par(	strstr(curr_line, "par(")
A	src/frontend/inpcom.c	7288	inp_compat	strstr	par(	strstr(cut_line, "par(")
A	src/frontend/inpcom.c	7454	inp_bsource_compat	strstr	=pwl(	strstr(curr_line, "=pwl(")
A	src/frontend/inpcom.c	7518	inp_temper_compat	prefix	.model	prefix(".model", curr_line)
A	src/frontend/inpcom.c	7521	inp_temper_compat	strstr	temper	strstr(curr_line, "temper")
A	src/frontend/inpcom.c	7779	inp_add_series_resistor	strstr	option	strstr(curr_line, "option")
A	src/frontend/inpcom.c	7780	inp_add_series_resistor	strstr	rseries	strstr(curr_line, "rseries")
A	src/frontend/inpcom.c	7863	subckt_params_to_param	strstr	params:	strstr(curr_line, "params:")
A	src/frontend/inpcom.c	8227	inp_fix_temper_in_param	prefix	.para	prefix(".para", new_str)
A	src/frontend/inpcom.c	8682	inp_vdmos_model	strncmp	vdmos	strncmp(cut_line, "vdmos", 5)
A	src/frontend/inpcom.c	8746	inp_vdmos_model	strstr	thermal	strstr(curr_line, "thermal")
A	src/frontend/inpcom.c	8872	inp_meas_current	strstr	i(	strstr(curr_line, "i(")
A	src/frontend/inpcom.c	8878	inp_meas_current	strstr	i(	strstr(s, "i(")
A	src/frontend/inpcom.c	8987	inp_meas_current	eq	.ends	eq(".ends", tok)
A	src/frontend/inpcom.c	9018	inp_meas_current	strstr	_vmeas	strstr(node1, "_vmeas")
A	src/frontend/inpcom.c	9142	inp_check_syntax	strstr	 m=	strstr(cut_line, " m=")
A	src/frontend/inpcom.c	9142	inp_check_syntax	strstr	 m =	strstr(cut_line, " m =")
A	src/frontend/inpcom.c	9254	inp_check_syntax	eq	circbyline	eq("circbyline", bugcard->linesource)
A	src/frontend/inpcom.c	9808	inp_repair_dc_ps	strstr	(temper)	strstr(curr_line, "(temper)")
A	src/frontend/inpcompat.c	77	set_compat_mode	strstr	hs	strstr(behaviour, "hs")
A	src/frontend/inpcompat.c	79	set_compat_mode	strstr	ps	strstr(behaviour, "ps")
A	src/frontend/inpcompat.c	81	set_compat_mode	strstr	xs	strstr(behaviour, "xs")
A	src/frontend/inpcompat.c	83	set_compat_mode	strstr	lt	strstr(behaviour, "lt")
A	src/frontend/inpcompat.c	85	set_compat_mode	strstr	ki	strstr(behaviour, "ki")
A	src/frontend/inpcompat.c	87	set_compat_mode	strstr	a	strstr(behaviour, "a")
A	src/frontend/inpcompat.c	89	set_compat_mode	strstr	ll	strstr(behaviour, "ll")
A	src/frontend/inpcompat.c	91	set_compat_mode	strstr	s3	strstr(behaviour, "s3")
A	src/frontend/inpcompat.c	93	set_compat_mode	strstr	eg	strstr(behaviour, "eg")
A	src/frontend/inpcompat.c	95	set_compat_mode	strstr	spe	strstr(behaviour, "spe")
A	src/frontend/inpcompat.c	99	set_compat_mode	strstr	mc	strstr(behaviour, "mc")
A	src/frontend/inpcompat.c	168	replace_table	strstr	table(	strstr(cut_line, "table(")
A	src/frontend/inpcompat.c	187	replace_table	strstr	table(	strstr(cut_line, "table(")
A	src/frontend/inpcompat.c	297	ako_model	strstr	ako:	strstr(cut_line, "ako:")
A	src/frontend/inpcompat.c	535	u_instances	strstr	optional:	strstr(tmp, "optional:")
A	src/frontend/inpcompat.c	536	u_instances	strstr	params:	strstr(tmp, "params:")
A	src/frontend/inpcompat.c	737	pspice_compat	strstr	params:	strstr(cut_line, "params:")
A	src/frontend/inpcompat.c	779	pspice_compat	strstr	level=	strstr(cut_line, "level=")
A	src/frontend/inpcompat.c	819	pspice_compat	strstr	level=	strstr(cut_line, "level=")
A	src/frontend/inpcompat.c	864	pspice_compat	strncmp	dev=	strncmp(cut_line, "dev=", 4)
A	src/frontend/inpcompat.c	865	pspice_compat	strncmp	lot=	strncmp(cut_line, "lot=", 4)
A	src/frontend/inpcompat.c	889	pspice_compat	strstr	params:	strstr(cut_line, "params:")
A	src/frontend/inpcompat.c	1212	pspice_compat	strstr	vswitch	strstr(card->line, "vswitch")
A	src/frontend/inpcompat.c	1226	pspice_compat	strstr	vt=	strstr(str, "vt=")
A	src/frontend/inpcompat.c	1226	pspice_compat	strstr	vh=	strstr(str, "vh=")
A	src/frontend/inpcompat.c	1229	pspice_compat	strstr	ron=	strstr(lstr, "ron=")
A	src/frontend/inpcompat.c	1235	pspice_compat	strstr	roff=	strstr(lstr, "roff=")
A	src/frontend/inpcompat.c	1241	pspice_compat	strstr	vt=	strstr(lstr, "vt=")
A	src/frontend/inpcompat.c	1247	pspice_compat	strstr	vh=	strstr(lstr, "vh=")
A	src/frontend/inpcompat.c	1266	pspice_compat	strstr	von=	strstr(str, "von=")
A	src/frontend/inpcompat.c	1266	pspice_compat	strstr	voff=	strstr(str, "voff=")
A	src/frontend/inpcompat.c	1270	pspice_compat	strstr	ron=	strstr(lstr, "ron=")
A	src/frontend/inpcompat.c	1282	pspice_compat	strstr	roff=	strstr(lstr, "roff=")
A	src/frontend/inpcompat.c	1294	pspice_compat	strstr	von=	strstr(lstr, "von=")
A	src/frontend/inpcompat.c	1308	pspice_compat	strstr	voff=	strstr(lstr, "voff=")
A	src/frontend/inpcompat.c	1459	pspice_compat	strstr	iswitch	strstr(card->line, "iswitch")
A	src/frontend/inpcompat.c	1473	pspice_compat	strstr	it=	strstr(str, "it=")
A	src/frontend/inpcompat.c	1473	pspice_compat	strstr	ih=	strstr(str, "ih=")
A	src/frontend/inpcompat.c	1476	pspice_compat	strstr	ron=	strstr(lstr, "ron=")
A	src/frontend/inpcompat.c	1482	pspice_compat	strstr	roff=	strstr(lstr, "roff=")
A	src/frontend/inpcompat.c	1488	pspice_compat	strstr	it=	strstr(lstr, "it=")
A	src/frontend/inpcompat.c	1494	pspice_compat	strstr	ih=	strstr(lstr, "ih=")
A	src/frontend/inpcompat.c	1513	pspice_compat	strstr	ion=	strstr(str, "ion=")
A	src/frontend/inpcompat.c	1513	pspice_compat	strstr	ioff=	strstr(str, "ioff=")
A	src/frontend/inpcompat.c	1517	pspice_compat	strstr	ron=	strstr(lstr, "ron=")
A	src/frontend/inpcompat.c	1528	pspice_compat	strstr	roff=	strstr(lstr, "roff=")
A	src/frontend/inpcompat.c	1539	pspice_compat	strstr	ion=	strstr(lstr, "ion=")
A	src/frontend/inpcompat.c	1552	pspice_compat	strstr	ioff=	strstr(lstr, "ioff=")
A	src/frontend/inpcompat.c	1631	pspice_compat	strstr	iswitch	strstr(card->line, "iswitch")
A	src/frontend/inpcompat.c	1771	ltspice_compat	strstr	noiseless	strstr(cut_line, "noiseless")
A	src/frontend/logicexp.c	553	tilde_tail	strncmp	tilde_	strncmp(s, "tilde_", 6)
A	src/frontend/logicexp.c	1326	f_logicexp	eq	d0_gate	eq(parse_lexer->lexer_buf, "d0_gate")
A	src/frontend/logicexp.c	1730	extract_delay	eq	delay	eq(lx->lexer_buf, "delay")
A	src/frontend/logicexp.c	1830	new_gen_output_models	eq	pindly	eq(lx->lexer_buf, "pindly")
A	src/frontend/logicexp.c	1837	new_gen_output_models	eq	tristate	eq(lx->lexer_buf, "tristate")
A	src/frontend/logicexp.c	1844	new_gen_output_models	eq	setup_hold	eq(lx->lexer_buf, "setup_hold")
A	src/frontend/logicexp.c	1845	new_gen_output_models	eq	width	eq(lx->lexer_buf, "width")
A	src/frontend/logicexp.c	1846	new_gen_output_models	eq	freq	eq(lx->lexer_buf, "freq")
A	src/frontend/logicexp.c	1847	new_gen_output_models	eq	boolean	eq(lx->lexer_buf, "boolean")
A	src/frontend/logicexp.c	1848	new_gen_output_models	eq	general	eq(lx->lexer_buf, "general")
A	src/frontend/logicexp.c	1873	new_gen_output_models	eq	enable	eq(lx->lexer_buf, "enable")
A	src/frontend/logicexp.c	1875	new_gen_output_models	eq	hi	eq(lx->lexer_buf, "hi")
A	src/frontend/logicexp.c	1876	new_gen_output_models	eq	lo	eq(lx->lexer_buf, "lo")
A	src/frontend/logicexp.c	1878	new_gen_output_models	eq	lo	eq(lx->lexer_buf, "lo")
A	src/frontend/measure.c	149	hkAnalysisType	strcmp	tran	strcmp(an_type, "tran")
A	src/frontend/measure.c	149	hkAnalysisType	strcmp	ac	strcmp(an_type, "ac")
A	src/frontend/measure.c	150	hkAnalysisType	strcmp	dc	strcmp(an_type, "dc")
A	src/frontend/measure.c	150	hkAnalysisType	strcmp	sp	strcmp(an_type, "sp")
A	src/frontend/measure.c	319	o_measure	strcmp	tran	strcmp(an_type, "tran")
A	src/frontend/measure.c	324	o_measure	strcmp	dc	strcmp(an_type, "dc")
A	src/frontend/measure.c	329	o_measure	strcmp	ac	strcmp(an_type, "ac")
A	src/frontend/measure.c	334	o_measure	strcmp	sp	strcmp(an_type, "sp")
A	src/frontend/measure.c	342	o_measure	strncmp	param	strncmp(meastype, "param", 5)
A	src/frontend/measure.c	342	o_measure	strncmp	expr	strncmp(meastype, "expr", 4)
A	src/frontend/measure.c	452	o_measure	strncmp	param	strncmp(meastype, "param", 5)
A	src/frontend/measure.c	452	o_measure	strncmp	expr	strncmp(meastype, "expr", 4)
A	src/frontend/numparam/spicenum.c	241	ransform	prefix	.param	prefix(".param", s)
A	src/frontend/numparam/spicenum.c	245	ransform	prefix	.subckt	prefix(".subckt", s)
A	src/frontend/numparam/spicenum.c	248	ransform	strstr	params:	strstr(s, "params:")
A	src/frontend/numparam/spicenum.c	253	ransform	prefix	.control	prefix(".control", s)
A	src/frontend/numparam/spicenum.c	255	ransform	prefix	.endc	prefix(".endc", s)
A	src/frontend/numparam/spicenum.c	257	ransform	prefix	.ends	prefix(".ends", s)
A	src/frontend/numparam/xpressn.c	1589	upa_subcktcall	strstr	subckt	strstr(ds_get_buf(&tstr), "subckt")
A	src/frontend/numparam/xpressn.c	1599	upa_subcktcall	strstr	params:	strstr(ds_get_buf(&tstr), "params:")
A	src/frontend/nutinp.c	136	np_nutsource	eq	.width	eq(s, ".width")
A	src/frontend/nutinp.c	137	np_nutsource	eq	.plot	eq(s, ".plot")
A	src/frontend/nutinp.c	138	np_nutsource	eq	.print	eq(s, ".print")
A	src/frontend/nutinp.c	139	np_nutsource	eq	.sndprint	eq(s, ".sndprint")
A	src/frontend/nutinp.c	140	np_nutsource	eq	.sndparam	eq(s, ".sndparam")
A	src/frontend/nutinp.c	141	np_nutsource	eq	.save	eq(s, ".save")
A	src/frontend/options.c	70	cp_enqvar	strncmp	curplot	strncmp(word, "curplot", 7)
A	src/frontend/options.c	76	cp_enqvar	eq	name	eq(rest, "name")
A	src/frontend/options.c	80	cp_enqvar	eq	title	eq(rest, "title")
A	src/frontend/options.c	84	cp_enqvar	eq	date	eq(rest, "date")
A	src/frontend/options.c	90	cp_enqvar	eq	plots	eq(word, "plots")
A	src/frontend/options.c	284	p_usrset	eq	debug	eq(var->va_name, "debug")
A	src/frontend/options.c	303	p_usrset	eq	rawfile	eq(var->va_name, "rawfile")
A	src/frontend/options.c	305	p_usrset	eq	acct	eq(var->va_name, "acct")
A	src/frontend/options.c	307	p_usrset	eq	noacct	eq(var->va_name, "noacct")
A	src/frontend/options.c	309	p_usrset	eq	ngdebug	eq(var->va_name, "ngdebug")
